id,airline_code,flight_num,airline_name,scheduled_dt,actual_dt,departure_ind,destination_airport_code,destination_airport_name,destination_city_heb,destination_city_en,destination_country_heb,destination_country_en,terminal_num,checkin_counter,checkin_zone,flight_status_en,flight_status_heb
2414,LY,351,EL AL ISRAEL AIRLINES,2026-07-09T15:45:00,2026-07-09T15:45:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,ON TIME,בזמן
2415,SK,3173,SAS,2026-07-09T15:45:00,2026-07-09T15:45:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,ON TIME,בזמן
2416,BT,6690,AIR BALTIC,2026-07-09T15:50:00,2026-07-09T15:50:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
2417,EK,2449,EMIRATES,2026-07-09T15:50:00,2026-07-09T15:50:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,ON TIME,בזמן
2418,FZ,1082,FLYDUBAI,2026-07-09T15:50:00,2026-07-09T15:50:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,ON TIME,בזמן
2419,IB,7713,IBERIA,2026-07-09T15:50:00,2026-07-09T15:50:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
2420,IZ,816,ARKIA  ISRAELI  AIRLINES,2026-07-09T15:50:00,2026-07-09T15:50:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,NOT FINAL,לא סופי
2421,LY,2372,EL AL ISRAEL AIRLINES,2026-07-09T15:50:00,2026-07-09T15:50:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
2422,LY,394,EL AL ISRAEL AIRLINES,2026-07-09T15:50:00,2026-07-09T15:50:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
2423,SK,3156,SAS,2026-07-09T15:50:00,2026-07-09T15:50:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
2424,CY,111,CYPRUS AIRWAYS,2026-07-09T15:55:00,2026-07-09T15:55:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,ON TIME,בזמן
2425,IZ,053,ARKIA  ISRAELI  AIRLINES,2026-07-09T16:00:00,2026-07-09T16:00:00,D,CFU,CORFU,קורפו,CORFU,יוון,GREECE,3,,,ON TIME,בזמן
2426,IZ,2550,ARKIA  ISRAELI  AIRLINES,2026-07-09T16:00:00,2026-07-09T16:00:00,A,VNO,VILNIUS INTL,וילנה,VILNIUS,ליטא,LITHUANIA,3,,,NOT FINAL,לא סופי
2427,LIL,9136,FLY LILI,2026-07-09T16:00:00,2026-07-09T16:00:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
2428,U8,104,TUS AIRWAYS,2026-07-09T16:00:00,2026-07-09T16:00:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
2429,6H,725,ISRAIR AIRLINES,2026-07-09T16:00:00,2026-07-09T16:00:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,1,,,ON TIME,בזמן
2430,LY,313,EL AL ISRAEL AIRLINES,2026-07-09T16:05:00,2026-07-09T16:05:00,D,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,,,ON TIME,בזמן
2431,UX,1302,AIR EUROPA,2026-07-09T16:05:00,2026-07-09T16:05:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,ON TIME,בזמן
2432,LY,341,EL AL ISRAEL AIRLINES,2026-07-09T16:10:00,2026-07-09T16:10:00,D,GVA,GENEVA,ז'נבה,GENEVA,שוויץ,SWITZERLAND,3,,,ON TIME,בזמן
2433,U8,234,TUS AIRWAYS,2026-07-09T16:10:00,2026-07-09T16:10:00,D,CFU,CORFU,קורפו,CORFU,יוון,GREECE,3,,,ON TIME,בזמן
2434,AM,7851,AERO MEXICO,2026-07-09T16:15:00,2026-07-09T16:15:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,ON TIME,בזמן
2435,IZ,419,ARKIA  ISRAELI  AIRLINES,2026-07-09T16:15:00,2026-07-09T16:15:00,D,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,ON TIME,בזמן
2436,KL,2475,K.L.M.,2026-07-09T16:15:00,2026-07-09T16:15:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,ON TIME,בזמן
