id,airline_code,flight_num,airline_name,scheduled_dt,actual_dt,departure_ind,destination_airport_code,destination_airport_name,destination_city_heb,destination_city_en,destination_country_heb,destination_country_en,terminal_num,checkin_counter,checkin_zone,flight_status_en,flight_status_heb
885,LY,5051,EL AL ISRAEL AIRLINES,2026-07-07T14:40:00,2026-07-07T14:40:00,D,JTR,SANTORINI,סנטוריני,SANTORINI,יוון,GREECE,1,314-325,A,ON TIME,בזמן
886,LY,9957,EL AL ISRAEL AIRLINES,2026-07-07T14:40:00,2026-07-07T14:40:00,D,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,67-70,C,ON TIME,בזמן
887,6H,393,ISRAIR AIRLINES,2026-07-07T14:40:00,2026-07-07T14:40:00,D,BSL,BASEL,באזל,BASEL,שוויץ,SWITZERLAND,3,201-210,G,ON TIME,בזמן
888,AF,966,AIR FRANCE,2026-07-07T14:45:00,2026-07-07T14:45:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
889,BZ,154,BLUE BIRD AIRWAYS,2026-07-07T14:45:00,2026-07-07T14:45:00,D,BGY,BERGAMO,ברגמו,BERGAMO,איטליה,ITALY,3,24-33,A,ON TIME,בזמן
890,LY,9842,EL AL ISRAEL AIRLINES,2026-07-07T14:45:00,2026-07-07T14:45:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
891,6H,890,ISRAIR AIRLINES,2026-07-07T14:45:00,2026-07-07T14:45:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
892,AF,6170,AIR FRANCE,2026-07-07T14:50:00,2026-07-07T14:50:00,A,MRS,MARSEILLE,מרסיי,MARSEILLE,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
893,IZ,093,ARKIA  ISRAELI  AIRLINES,2026-07-07T14:50:00,2026-07-07T14:50:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,1,332-339,B,ON TIME,בזמן
894,LY,280,EL AL ISRAEL AIRLINES,2026-07-07T14:50:00,2026-07-07T14:50:00,A,VCE,VENICE,ונציה,VENICE,איטליה,ITALY,3,,,NOT FINAL,לא סופי
895,LY,322,EL AL ISRAEL AIRLINES,2026-07-07T14:50:00,2026-07-07T14:50:00,A,MRS,MARSEILLE,מרסיי,MARSEILLE,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
896,W6,4606,WIZZAIR,2026-07-07T14:50:00,2026-07-07T14:50:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,1,361-363,D,ON TIME,בזמן
897,CY,110,CYPRUS AIRWAYS,2026-07-07T14:55:00,2026-07-07T14:55:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
898,U8,462,TUS AIRWAYS,2026-07-07T14:55:00,2026-07-07T14:55:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,24-33,A,ON TIME,בזמן
899,IZ,411,ARKIA  ISRAELI  AIRLINES,2026-07-07T15:00:00,2026-07-07T15:00:00,D,TIA,TIRANA,טיראנה,TIRANA,אלבניה,ALBANIA,1,332-339,B,ON TIME,בזמן
900,LY,355,EL AL ISRAEL AIRLINES,2026-07-07T15:00:00,2026-07-07T15:00:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,78-99,D,ON TIME,בזמן
901,LY,5417,EL AL ISRAEL AIRLINES,2026-07-07T15:00:00,2026-07-07T15:00:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,78-99,D,ON TIME,בזמן
902,SK,3179,SAS,2026-07-07T15:00:00,2026-07-07T15:00:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,78-99,D,ON TIME,בזמן
903,BT,6684,AIR BALTIC,2026-07-07T15:05:00,2026-07-07T15:05:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
904,EY,594,ETIHAD AIRWAYS,2026-07-07T15:05:00,2026-07-07T15:05:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-66,C,ON TIME,בזמן
905,LY,354,EL AL ISRAEL AIRLINES,2026-07-07T15:05:00,2026-07-07T15:05:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
906,LY,9601,EL AL ISRAEL AIRLINES,2026-07-07T15:05:00,2026-07-07T15:05:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-66,C,ON TIME,בזמן
907,MU,4999,CHINA EASTERN AIRLINES Co. Ltd,2026-07-07T15:05:00,2026-07-07T15:05:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-66,C,ON TIME,בזמן
908,UL,2594,SRILANKA AIRLINES,2026-07-07T15:05:00,2026-07-07T15:05:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-66,C,ON TIME,בזמן
909,6H,178,ISRAIR AIRLINES,2026-07-07T15:05:00,2026-07-07T15:05:00,A,TIV,TIVAT,טיבאת,TIVAT,מונטנגרו,MONTENEGRO,3,,,NOT FINAL,לא סופי
910,6H,169,ISRAIR AIRLINES,2026-07-07T15:10:00,2026-07-07T15:10:00,D,TIA,TIRANA,טיראנה,TIRANA,אלבניה,ALBANIA,1,305-312,A,ON TIME,בזמן
911,EY,608,ETIHAD AIRWAYS,2026-07-07T15:15:00,2026-07-07T15:15:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-66,C,ON TIME,בזמן
912,LY,9615,EL AL ISRAEL AIRLINES,2026-07-07T15:15:00,2026-07-07T15:15:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-66,C,ON TIME,בזמן
913,BZ,746,BLUE BIRD AIRWAYS,2026-07-07T15:20:00,2026-07-07T15:20:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,18-28,A,CANCELED,מבוטלת
914,IZ,2550,ARKIA  ISRAELI  AIRLINES,2026-07-07T15:20:00,2026-07-07T15:20:00,A,VNO,VILNIUS INTL,וילנה,VILNIUS,ליטא,LITHUANIA,3,,,NOT FINAL,לא סופי
915,LO,155,LOT POLISH AIRLINES,2026-07-07T15:20:00,2026-07-07T15:20:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,NOT FINAL,לא סופי
916,LH,686,LUFTHANSA,2026-07-07T15:25:00,2026-07-07T15:25:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
917,LY,2522,EL AL ISRAEL AIRLINES,2026-07-07T15:30:00,2026-07-07T15:30:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,NOT FINAL,לא סופי
918,LY,281,EL AL ISRAEL AIRLINES,2026-07-07T15:30:00,2026-07-07T15:30:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
919,SK,3183,SAS,2026-07-07T15:30:00,2026-07-07T15:30:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
920,W9,5302,WIZZ UK,2026-07-07T15:30:00,2026-07-07T15:30:00,D,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,218-222,G,ON TIME,בזמן
921,ET,419,ETHIOPIAN AIRLINES,2026-07-07T15:35:00,2026-07-07T15:35:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,38-42,B,ON TIME,בזמן
922,LY,8809,EL AL ISRAEL AIRLINES,2026-07-07T15:35:00,2026-07-07T15:35:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,38-42,B,ON TIME,בזמן
923,6H,534,ISRAIR AIRLINES,2026-07-07T15:35:00,2026-07-07T15:35:00,A,CFU,CORFU,קורפו,CORFU,יוון,GREECE,3,,,NOT FINAL,לא סופי
924,AF,6174,AIR FRANCE,2026-07-07T15:40:00,2026-07-07T15:40:00,A,NCE,NICE,ניס,NICE,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
925,EK,2449,EMIRATES,2026-07-07T15:40:00,2026-07-07T15:40:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,34-37,B,ON TIME,בזמן
926,FZ,1082,FLYDUBAI,2026-07-07T15:40:00,2026-07-07T15:40:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,34-37,B,ON TIME,בזמן
927,LY,224,EL AL ISRAEL AIRLINES,2026-07-07T15:40:00,2026-07-07T15:40:00,A,NCE,NICE,ניס,NICE,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
928,6H,728,ISRAIR AIRLINES,2026-07-07T15:40:00,2026-07-07T15:40:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,NOT FINAL,לא סופי
929,BZ,442,BLUE BIRD AIRWAYS,2026-07-07T15:45:00,2026-07-07T15:45:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,24-33,A,ON TIME,בזמן
930,LY,351,EL AL ISRAEL AIRLINES,2026-07-07T15:45:00,2026-07-07T15:45:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,78-99,D,ON TIME,בזמן
931,SK,3173,SAS,2026-07-07T15:45:00,2026-07-07T15:45:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,78-99,D,ON TIME,בזמן
932,6H,714,ISRAIR AIRLINES,2026-07-07T15:45:00,2026-07-07T15:45:00,A,VAR,VARNA,וארנה,VARNA,בולגריה,BULGARIA,3,,,NOT FINAL,לא סופי
933,BT,6690,AIR BALTIC,2026-07-07T15:50:00,2026-07-07T15:50:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
934,IB,7713,IBERIA,2026-07-07T15:50:00,2026-07-07T15:50:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
935,IZ,816,ARKIA  ISRAELI  AIRLINES,2026-07-07T15:50:00,2026-07-07T15:50:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,NOT FINAL,לא סופי
936,LY,2372,EL AL ISRAEL AIRLINES,2026-07-07T15:50:00,2026-07-07T15:50:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
937,LY,394,EL AL ISRAEL AIRLINES,2026-07-07T15:50:00,2026-07-07T15:50:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
938,SK,3156,SAS,2026-07-07T15:50:00,2026-07-07T15:50:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
939,U8,111,TUS AIRWAYS,2026-07-07T15:50:00,2026-07-07T15:50:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,24-33,A,ON TIME,בזמן
940,CY,111,CYPRUS AIRWAYS,2026-07-07T15:55:00,2026-07-07T15:55:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,215-217,G,ON TIME,בזמן
941,LY,346,EL AL ISRAEL AIRLINES,2026-07-07T15:55:00,2026-07-07T15:55:00,A,GVA,GENEVA,ז'נבה,GENEVA,שוויץ,SWITZERLAND,3,,,NOT FINAL,לא סופי
942,IZ,338,ARKIA  ISRAELI  AIRLINES,2026-07-07T17:00:00,2026-07-07T16:00:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,EARLY,הוקדמה
943,U8,106,TUS AIRWAYS,2026-07-07T16:00:00,2026-07-07T16:00:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
944,UX,1302,AIR EUROPA,2026-07-07T16:05:00,2026-07-07T16:05:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,43-49,B,ON TIME,בזמן
945,LO,5252,LOT POLISH AIRLINES,2026-07-07T16:10:00,2026-07-07T16:10:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,NOT FINAL,לא סופי
946,LO,5256,LOT POLISH AIRLINES,2026-07-07T16:10:00,2026-07-07T16:10:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,NOT FINAL,לא סופי
947,LY,5102,EL AL ISRAEL AIRLINES,2026-07-07T16:10:00,2026-07-07T16:10:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,NOT FINAL,לא סופי
948,AM,7851,AERO MEXICO,2026-07-07T16:15:00,2026-07-07T16:15:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
949,KL,2475,K.L.M.,2026-07-07T16:15:00,2026-07-07T16:15:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
950,LY,2360,EL AL ISRAEL AIRLINES,2026-07-07T16:15:00,2026-07-07T16:15:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,NOT FINAL,לא סופי
951,LY,313,EL AL ISRAEL AIRLINES,2026-07-07T16:15:00,2026-07-07T16:15:00,D,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
952,LY,339,EL AL ISRAEL AIRLINES,2026-07-07T16:15:00,2026-07-07T16:15:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
953,SK,3151,SAS,2026-07-07T16:15:00,2026-07-07T16:15:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
954,EK,2470,EMIRATES,2026-07-07T16:20:00,2026-07-07T16:20:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
955,FZ,1125,FLYDUBAI,2026-07-07T16:20:00,2026-07-07T16:20:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
956,LY,341,EL AL ISRAEL AIRLINES,2026-07-07T16:20:00,2026-07-07T16:20:00,D,GVA,GENEVA,ז'נבה,GENEVA,שוויץ,SWITZERLAND,3,78-99,D,ON TIME,בזמן
957,NO,9031,NEOS,2026-07-07T16:20:00,2026-07-07T16:20:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,223-226,G,ON TIME,בזמן
958,AM,7859,AERO MEXICO,2026-07-07T16:25:00,2026-07-07T16:25:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
959,AR,7854,AEROLINEAS ARGENTINAS S.A.,2026-07-07T16:25:00,2026-07-07T16:25:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
960,IB,7715,IBERIA,2026-07-07T16:25:00,2026-07-07T16:25:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
961,LY,312,EL AL ISRAEL AIRLINES,2026-07-07T16:25:00,2026-07-07T16:25:00,A,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
962,LY,396,EL AL ISRAEL AIRLINES,2026-07-07T16:25:00,2026-07-07T16:25:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
963,LY,5142,EL AL ISRAEL AIRLINES,2026-07-07T16:25:00,2026-07-07T16:25:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
964,6H,151,ISRAIR AIRLINES,2026-07-07T16:25:00,2026-07-07T16:25:00,D,AGP,MALAGA,מלגה,MALAGA,ספרד,SPAIN,1,305-312,A,ON TIME,בזמן
965,AF,963,AIR FRANCE,2026-07-07T16:30:00,2026-07-07T16:30:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,12-18,A,ON TIME,בזמן
966,IZ,1166,ARKIA  ISRAELI  AIRLINES,2026-07-07T16:30:00,2026-07-07T16:30:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
967,LH,687,LUFTHANSA,2026-07-07T16:30:00,2026-07-07T16:30:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,19-23,A,ON TIME,בזמן
968,LO,156,LOT POLISH AIRLINES,2026-07-07T16:30:00,2026-07-07T16:30:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,52-55,B,ON TIME,בזמן
969,LY,9843,EL AL ISRAEL AIRLINES,2026-07-07T16:30:00,2026-07-07T16:30:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,12-18,A,ON TIME,בזמן
970,6H,573,ISRAIR AIRLINES,2026-07-07T16:35:00,2026-07-07T16:35:00,D,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,1,305-312,A,ON TIME,בזמן
971,AF,7068,AIR FRANCE,2026-07-07T16:40:00,2026-07-07T16:40:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
972,AM,7898,AERO MEXICO,2026-07-07T16:40:00,2026-07-07T16:40:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
973,LY,320,EL AL ISRAEL AIRLINES,2026-07-07T16:40:00,2026-07-07T16:40:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
974,LY,343,EL AL ISRAEL AIRLINES,2026-07-07T16:40:00,2026-07-07T16:40:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,78-99,D,ON TIME,בזמן
975,LY,382,EL AL ISRAEL AIRLINES,2026-07-07T16:40:00,2026-07-07T16:40:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
976,SK,3162,SAS,2026-07-07T16:40:00,2026-07-07T16:40:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
977,SK,3184,SAS,2026-07-07T16:40:00,2026-07-07T16:40:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
978,SK,3191,SAS,2026-07-07T16:40:00,2026-07-07T16:40:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,78-99,D,ON TIME,בזמן
979,6H,347,ISRAIR AIRLINES,2026-07-07T16:40:00,2026-07-07T16:40:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,201-210,G,ON TIME,בזמן
980,6H,248,ISRAIR AIRLINES,2026-07-07T16:45:00,2026-07-07T16:45:00,A,SZG,SALZBURG,זלצבורג,SALZBURG,אוסטריה,AUSTRIA,3,,,NOT FINAL,לא סופי
981,6H,884,ISRAIR AIRLINES,2026-07-07T16:45:00,2026-07-07T16:45:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
982,EY,597,ETIHAD AIRWAYS,2026-07-07T16:50:00,2026-07-07T16:50:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
983,IZ,821,ARKIA  ISRAELI  AIRLINES,2026-07-07T16:50:00,2026-07-07T16:50:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,349-354,C,ON TIME,בזמן
984,LY,9605,EL AL ISRAEL AIRLINES,2026-07-07T16:50:00,2026-07-07T16:50:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
985,AM,7865,AERO MEXICO,2026-07-07T16:55:00,2026-07-07T16:55:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
986,DL,7432,DELTA AIRLINES,2026-07-07T16:55:00,2026-07-07T16:55:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
987,LY,011,EL AL ISRAEL AIRLINES,2026-07-07T16:55:00,2026-07-07T16:55:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
988,LY,375,EL AL ISRAEL AIRLINES,2026-07-07T16:55:00,2026-07-07T16:55:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,78-99,D,ON TIME,בזמן
989,TP,8920,AIR PORTUGAL,2026-07-07T16:55:00,2026-07-07T16:55:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,78-99,D,ON TIME,בזמן
990,AM,7877,AERO MEXICO,2026-07-07T17:00:00,2026-07-07T17:00:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
991,A3,4298,AEGEAN  AIRLINES,2026-07-07T17:00:00,2026-07-07T17:00:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,NOT FINAL,לא סופי
992,IZ,1223,ARKIA  ISRAELI  AIRLINES,2026-07-07T17:00:00,2026-07-07T17:00:00,D,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,3,G1-G6,G,ON TIME,בזמן
993,LY,317,EL AL ISRAEL AIRLINES,2026-07-07T17:00:00,2026-07-07T17:00:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
994,VS,7495,VIRGIN ATLANTIC AIRWAYS,2026-07-07T17:00:00,2026-07-07T17:00:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
995,6H,877,ISRAIR AIRLINES,2026-07-07T17:00:00,2026-07-07T17:00:00,D,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,201-209,G,CANCELED,מבוטלת
996,AF,7071,AIR FRANCE,2026-07-07T17:10:00,2026-07-07T17:10:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
997,AM,7853,AERO MEXICO,2026-07-07T17:10:00,2026-07-07T17:10:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
998,LY,325,EL AL ISRAEL AIRLINES,2026-07-07T17:10:00,2026-07-07T17:10:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
999,6H,594,ISRAIR AIRLINES,2026-07-07T17:10:00,2026-07-07T17:10:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
1000,AM,7866,AERO MEXICO,2026-07-07T17:15:00,2026-07-07T17:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
1001,AR,7855,AEROLINEAS ARGENTINAS S.A.,2026-07-07T17:15:00,2026-07-07T17:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
1002,IB,7716,IBERIA,2026-07-07T17:15:00,2026-07-07T17:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
1003,IZ,427,ARKIA  ISRAELI  AIRLINES,2026-07-07T17:15:00,2026-07-07T17:15:00,D,TAT,TATRY,טטרי,TATRY,סלובקיה,SLOVAKIA,3,G1-G6,G,ON TIME,בזמן
1004,LY,397,EL AL ISRAEL AIRLINES,2026-07-07T17:15:00,2026-07-07T17:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
1005,LY,5412,EL AL ISRAEL AIRLINES,2026-07-07T17:15:00,2026-07-07T17:15:00,A,CPH,COPENHAGEN KASTRUP,קופנהאגן,COPENHAGEN,דנמרק,DENMARK,3,,,NOT FINAL,לא סופי
1006,6H,582,ISRAIR AIRLINES,2026-07-07T17:15:00,2026-07-07T17:15:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
1007,LY,286,EL AL ISRAEL AIRLINES,2026-07-07T17:20:00,2026-07-07T17:20:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
1008,SK,3172,SAS,2026-07-07T17:20:00,2026-07-07T17:20:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
1009,6H,751,ISRAIR AIRLINES,2026-07-07T17:20:00,2026-07-07T17:20:00,D,LJU,LJUBLJANA,לובליאנה,LJUBLJANA,סלובניה,SLOVENIA,1,305-312,A,ON TIME,בזמן
1010,AM,7856,AERO MEXICO,2026-07-07T17:10:00,2026-07-07T17:24:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
1011,DL,7431,DELTA AIRLINES,2026-07-07T17:10:00,2026-07-07T17:24:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
1012,LY,008,EL AL ISRAEL AIRLINES,2026-07-07T17:10:00,2026-07-07T17:24:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
1013,LY,348,EL AL ISRAEL AIRLINES,2026-07-07T17:25:00,2026-07-07T17:25:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,NOT FINAL,לא סופי
