id,airline_code,flight_num,airline_name,scheduled_dt,actual_dt,departure_ind,destination_airport_code,destination_airport_name,destination_city_heb,destination_city_en,destination_country_heb,destination_country_en,terminal_num,checkin_counter,checkin_zone,flight_status_en,flight_status_heb,avg_flight_hours_estimate
2086,AM,7865,AERO MEXICO,2026-07-14T16:55:00,2026-07-14T16:55:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,78-99,D,ON TIME,בזמן,11.5
2087,DL,7432,DELTA AIRLINES,2026-07-14T16:55:00,2026-07-14T16:55:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,78-99,D,ON TIME,בזמן,11.5
2088,LY,011,EL AL ISRAEL AIRLINES,2026-07-14T16:55:00,2026-07-14T16:55:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,78-99,D,ON TIME,בזמן,11.5
2089,LY,375,EL AL ISRAEL AIRLINES,2026-07-14T16:55:00,2026-07-14T16:55:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3.0,78-99,D,ON TIME,בזמן,5.75
2090,TP,8920,AIR PORTUGAL,2026-07-14T16:55:00,2026-07-14T16:55:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3.0,78-99,D,ON TIME,בזמן,5.75
2091,AM,7877,AERO MEXICO,2026-07-14T17:00:00,2026-07-14T17:00:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3.0,78-99,D,ON TIME,בזמן,5.0
2092,A3,4298,AEGEAN  AIRLINES,2026-07-14T17:00:00,2026-07-14T17:00:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3.0,,,NOT FINAL,לא סופי,1.75
2093,BZ,564,BLUE BIRD AIRWAYS,2026-07-14T17:00:00,2026-07-14T17:00:00,D,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3.0,56-69,C,ON TIME,בזמן,2.0
2094,IZ,1223,ARKIA  ISRAELI  AIRLINES,2026-07-14T17:00:00,2026-07-14T17:00:00,D,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,3.0,,,ON TIME,בזמן,1.75
2095,LY,317,EL AL ISRAEL AIRLINES,2026-07-14T17:00:00,2026-07-14T17:00:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3.0,78-99,D,ON TIME,בזמן,5.0
2096,VS,7495,VIRGIN ATLANTIC AIRWAYS,2026-07-14T17:00:00,2026-07-14T17:00:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3.0,78-99,D,ON TIME,בזמן,5.0
2097,6H,594,ISRAIR AIRLINES,2026-07-14T17:05:00,2026-07-14T17:05:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3.0,,,NOT FINAL,לא סופי,1.0
2098,AF,7071,AIR FRANCE,2026-07-14T17:10:00,2026-07-14T17:10:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,,,ON TIME,בזמן,4.5
2099,AM,7853,AERO MEXICO,2026-07-14T17:10:00,2026-07-14T17:10:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,,,ON TIME,בזמן,4.5
2100,AM,7856,AERO MEXICO,2026-07-14T17:10:00,2026-07-14T17:10:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,,,NOT FINAL,לא סופי,11.5
2101,DL,7431,DELTA AIRLINES,2026-07-14T17:10:00,2026-07-14T17:10:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,,,NOT FINAL,לא סופי,11.5
2102,LY,008,EL AL ISRAEL AIRLINES,2026-07-14T17:10:00,2026-07-14T17:10:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,,,NOT FINAL,לא סופי,11.5
2103,LY,325,EL AL ISRAEL AIRLINES,2026-07-14T17:10:00,2026-07-14T17:10:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,,,ON TIME,בזמן,4.5
2104,6H,351,ISRAIR AIRLINES,2026-07-14T17:10:00,2026-07-14T17:10:00,D,VRN,VILLAFRANCA-VERONA,ורונה,VERONA,איטליה,ITALY,1.0,,,ON TIME,בזמן,3.75
2105,AM,7866,AERO MEXICO,2026-07-14T17:15:00,2026-07-14T17:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3.0,78-99,D,ON TIME,בזמן,5.0
2106,AR,7855,AEROLINEAS ARGENTINAS S.A.,2026-07-14T17:15:00,2026-07-14T17:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3.0,78-99,D,ON TIME,בזמן,5.0
2107,IB,7716,IBERIA,2026-07-14T17:15:00,2026-07-14T17:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3.0,78-99,D,ON TIME,בזמן,5.0
2108,IZ,427,ARKIA  ISRAELI  AIRLINES,2026-07-14T17:15:00,2026-07-14T17:15:00,D,TAT,TATRY,טטרי,TATRY,סלובקיה,SLOVAKIA,3.0,,,ON TIME,בזמן,3.5
2109,LY,397,EL AL ISRAEL AIRLINES,2026-07-14T17:15:00,2026-07-14T17:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3.0,78-99,D,ON TIME,בזמן,5.0
2110,LY,5412,EL AL ISRAEL AIRLINES,2026-07-14T17:15:00,2026-07-14T17:15:00,A,CPH,COPENHAGEN KASTRUP,קופנהאגן,COPENHAGEN,דנמרק,DENMARK,3.0,,,NOT FINAL,לא סופי,4.5
2111,6H,582,ISRAIR AIRLINES,2026-07-14T17:15:00,2026-07-14T17:15:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3.0,,,NOT FINAL,לא סופי,1.0
2112,BZ,693,BLUE BIRD AIRWAYS,2026-07-14T17:20:00,2026-07-14T17:20:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3.0,,,NOT FINAL,לא סופי,1.75
2113,LY,286,EL AL ISRAEL AIRLINES,2026-07-14T17:20:00,2026-07-14T17:20:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3.0,,,NOT FINAL,לא סופי,3.75
2114,SK,3172,SAS,2026-07-14T17:20:00,2026-07-14T17:20:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3.0,,,NOT FINAL,לא סופי,3.75
2115,6H,751,ISRAIR AIRLINES,2026-07-14T17:20:00,2026-07-14T17:20:00,D,LJU,LJUBLJANA,לובליאנה,LJUBLJANA,סלובניה,SLOVENIA,1.0,,,ON TIME,בזמן,3.25
2116,LY,348,EL AL ISRAEL AIRLINES,2026-07-14T17:25:00,2026-07-14T17:25:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3.0,,,NOT FINAL,לא סופי,4.25
2117,SK,3188,SAS,2026-07-14T17:25:00,2026-07-14T17:25:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3.0,,,NOT FINAL,לא סופי,4.25
2118,BT,6678,AIR BALTIC,2026-07-14T17:30:00,2026-07-14T17:30:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3.0,,,NOT FINAL,לא סופי,4.75
2119,KL,2472,K.L.M.,2026-07-14T17:30:00,2026-07-14T17:30:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3.0,,,NOT FINAL,לא סופי,4.75
2120,LY,338,EL AL ISRAEL AIRLINES,2026-07-14T17:30:00,2026-07-14T17:30:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3.0,,,NOT FINAL,לא סופי,4.75
2121,LY,363,EL AL ISRAEL AIRLINES,2026-07-14T17:30:00,2026-07-14T17:30:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3.0,78-99,D,ON TIME,בזמן,3.5
2122,SK,3150,SAS,2026-07-14T17:30:00,2026-07-14T17:30:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3.0,,,NOT FINAL,לא סופי,4.75
2123,LY,545,EL AL ISRAEL AIRLINES,2026-07-14T17:35:00,2026-07-14T17:35:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,78-99,D,ON TIME,בזמן,1.75
2124,6H,346,ISRAIR AIRLINES,2026-07-14T17:35:00,2026-07-14T17:35:00,A,NAP,NAPLES-CAPODICHINO,נאפולי,NAPLES,איטליה,ITALY,3.0,,,NOT FINAL,לא סופי,3.75
2125,IB,7710,IBERIA,2026-07-14T17:45:00,2026-07-14T17:45:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3.0,78-99,D,ON TIME,בזמן,5.0
2126,LY,391,EL AL ISRAEL AIRLINES,2026-07-14T17:45:00,2026-07-14T17:45:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3.0,78-99,D,ON TIME,בזמן,5.0
2127,EK,2471,EMIRATES,2026-07-14T17:50:00,2026-07-14T17:50:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,,,ON TIME,בזמן,3.25
2128,FZ,1126,FLYDUBAI,2026-07-14T17:50:00,2026-07-14T17:50:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,,,ON TIME,בזמן,3.25
2129,A3,4299,AEGEAN  AIRLINES,2026-07-14T17:55:00,2026-07-14T17:55:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3.0,,,ON TIME,בזמן,1.75
2130,LY,2523,EL AL ISRAEL AIRLINES,2026-07-14T17:55:00,2026-07-14T17:55:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3.0,78-99,D,ON TIME,בזמן,3.75
2131,W6,2327,WIZZAIR,2026-07-14T17:55:00,2026-07-14T17:55:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3.0,,,NOT FINAL,לא סופי,3.0
2132,AR,7859,AEROLINEAS ARGENTINAS S.A.,2026-07-14T18:00:00,2026-07-14T18:00:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3.0,78-99,D,ON TIME,בזמן,3.75
2133,IZ,2550,ARKIA  ISRAELI  AIRLINES,2026-07-14T18:00:00,2026-07-14T18:00:00,A,VNO,VILNIUS INTL,וילנה,VILNIUS,ליטא,LITHUANIA,3.0,,,NOT FINAL,לא סופי,4.0
2134,LY,289,EL AL ISRAEL AIRLINES,2026-07-14T18:00:00,2026-07-14T18:00:00,D,VCE,VENICE,ונציה,VENICE,איטליה,ITALY,3.0,78-99,D,ON TIME,בזמן,3.75
2135,LY,383,EL AL ISRAEL AIRLINES,2026-07-14T18:00:00,2026-07-14T18:00:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3.0,78-99,D,ON TIME,בזמן,3.75
2136,SK,3169,SAS,2026-07-14T18:00:00,2026-07-14T18:00:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3.0,78-99,D,ON TIME,בזמן,3.75
2137,TP,8900,AIR PORTUGAL,2026-07-14T18:00:00,2026-07-14T18:00:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3.0,78-99,D,ON TIME,בזמן,3.75
2138,W4,6403,WIZZ AIR MALTA,2026-07-14T18:00:00,2026-07-14T18:00:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3.0,,,NOT FINAL,לא סופי,3.75
2139,AF,6175,AIR FRANCE,2026-07-14T18:10:00,2026-07-14T18:10:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,,,NOT FINAL,לא סופי,4.5
2140,AM,7855,AERO MEXICO,2026-07-14T18:10:00,2026-07-14T18:10:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,,,NOT FINAL,לא סופי,4.5
2141,IZ,417,ARKIA  ISRAELI  AIRLINES,2026-07-14T18:10:00,2026-07-14T18:10:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,1.0,,,ON TIME,בזמן,2.75
2142,LY,222,EL AL ISRAEL AIRLINES,2026-07-14T18:10:00,2026-07-14T18:10:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,,,NOT FINAL,לא סופי,4.5
2143,SK,3196,SAS,2026-07-14T18:10:00,2026-07-14T18:10:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,,,NOT FINAL,לא סופי,4.5
2144,BZ,753,BLUE BIRD AIRWAYS,2026-07-14T18:15:00,2026-07-14T18:15:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3.0,,,NOT FINAL,לא סופי,1.75
2145,EK,2450,EMIRATES,2026-07-14T18:15:00,2026-07-14T18:15:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,,,NOT FINAL,לא סופי,3.25
2146,FZ,1625,FLYDUBAI,2026-07-14T18:15:00,2026-07-14T18:15:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,,,NOT FINAL,לא סופי,3.25
2147,LO,5251,LOT POLISH AIRLINES,2026-07-14T18:15:00,2026-07-14T18:15:00,D,KRK,KRAKOW,קרקוב,KRAKOW,פולין,POLAND,3.0,78-99,D,ON TIME,בזמן,3.75
2148,LY,5119,EL AL ISRAEL AIRLINES,2026-07-14T18:15:00,2026-07-14T18:15:00,D,KRK,KRAKOW,קרקוב,KRAKOW,פולין,POLAND,3.0,78-99,D,ON TIME,בזמן,3.75
2149,IZ,074,ARKIA  ISRAELI  AIRLINES,2026-07-14T18:25:00,2026-07-14T18:25:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3.0,,,NOT FINAL,לא סופי,1.75
2150,LY,5032,EL AL ISRAEL AIRLINES,2026-07-14T18:25:00,2026-07-14T18:25:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3.0,,,NOT FINAL,לא סופי,1.75
2151,LY,387,EL AL ISRAEL AIRLINES,2026-07-14T18:30:00,2026-07-14T18:30:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3.0,78-99,D,ON TIME,בזמן,3.75
2152,LY,5064,EL AL ISRAEL AIRLINES,2026-07-14T18:30:00,2026-07-14T18:30:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3.0,,,NOT FINAL,לא סופי,1.75
2153,LY,571,EL AL ISRAEL AIRLINES,2026-07-14T18:30:00,2026-07-14T18:30:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3.0,,,ON TIME,בזמן,2.5
2154,RO,9100,TAROM - ROMANIAN AIR TRANSPORT,2026-07-14T18:30:00,2026-07-14T18:30:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3.0,,,ON TIME,בזמן,2.5
2155,TP,8912,AIR PORTUGAL,2026-07-14T18:30:00,2026-07-14T18:30:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3.0,78-99,D,ON TIME,בזמן,3.75
2156,5F,5509,FLYONE,2026-07-14T18:30:00,2026-07-14T18:30:00,A,RMO,CHISINAU,קישינב,CHISINAU,מולדובה,MOLDOVA,3.0,,,NOT FINAL,לא סופי,2.25
2157,6H,945,ISRAIR AIRLINES,2026-07-14T18:30:00,2026-07-14T18:30:00,D,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3.0,201-209,G,ON TIME,בזמן,1.0
2158,IZ,051,ARKIA  ISRAELI  AIRLINES,2026-07-14T18:35:00,2026-07-14T18:35:00,D,CFU,CORFU,קורפו,CORFU,יוון,GREECE,3.0,,,ON TIME,בזמן,1.75
2159,6H,517,ISRAIR AIRLINES,2026-07-14T18:40:00,2026-07-14T18:40:00,D,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3.0,201-209,G,ON TIME,בזמן,1.75
2160,HY,303,UZBEKISTAN AIR,2026-07-14T18:45:00,2026-07-14T18:45:00,A,TAS,TASHKENT,טשקנט,TASHKENT,אוזבקיסטן,UZBEKISTAN,3.0,,,NOT FINAL,לא סופי,3.5
2161,LY,5468,EL AL ISRAEL AIRLINES,2026-07-14T18:45:00,2026-07-14T18:45:00,A,TIV,TIVAT,טיבאת,TIVAT,מונטנגרו,MONTENEGRO,3.0,,,NOT FINAL,לא סופי,2.75
2162,W6,2328,WIZZAIR,2026-07-14T18:50:00,2026-07-14T18:50:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,1.0,,,ON TIME,בזמן,3.0
2163,W4,6404,WIZZ AIR MALTA,2026-07-14T18:55:00,2026-07-14T18:55:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,1.0,,,ON TIME,בזמן,3.75
2164,6H,724,ISRAIR AIRLINES,2026-07-14T18:55:00,2026-07-14T18:55:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3.0,,,NOT FINAL,לא סופי,3.0
2165,A3,926,AEGEAN  AIRLINES,2026-07-14T19:00:00,2026-07-14T19:00:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,,,NOT FINAL,לא סופי,1.75
2166,EK,4976,EMIRATES,2026-07-14T19:00:00,2026-07-14T19:00:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,,,NOT FINAL,לא סופי,1.75
2167,JU,7620,AIR SERBIA,2026-07-14T19:00:00,2026-07-14T19:00:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,,,NOT FINAL,לא סופי,1.75
2168,4V,517,SKY UP NISTRU,2026-07-14T19:00:00,2026-07-14T19:00:00,A,RMO,CHISINAU,קישינב,CHISINAU,מולדובה,MOLDOVA,3.0,,,NOT FINAL,לא סופי,2.25
