id,airline_code,flight_num,airline_name,scheduled_dt,actual_dt,departure_ind,destination_airport_code,destination_airport_name,destination_city_heb,destination_city_en,destination_country_heb,destination_country_en,terminal_num,checkin_counter,checkin_zone,flight_status_en,flight_status_heb,flight_duration_minutes,flight_duration_days
1340,AM,7859,AERO MEXICO,2026-07-13T16:25:00,2026-07-13T16:25:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1341,AR,7854,AEROLINEAS ARGENTINAS S.A.,2026-07-13T16:25:00,2026-07-13T16:25:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1342,IB,7715,IBERIA,2026-07-13T16:25:00,2026-07-13T16:25:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1343,IZ,093,ARKIA  ISRAELI  AIRLINES,2026-07-13T16:25:00,2026-07-13T16:25:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,1.0,332-337,B,ON TIME,בזמן,0.0,0.0
1344,IZ,1418,ARKIA  ISRAELI  AIRLINES,2026-07-13T16:25:00,2026-07-13T16:25:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1345,LY,312,EL AL ISRAEL AIRLINES,2026-07-13T16:25:00,2026-07-13T16:25:00,A,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1346,LY,396,EL AL ISRAEL AIRLINES,2026-07-13T16:25:00,2026-07-13T16:25:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1347,AF,963,AIR FRANCE,2026-07-13T16:30:00,2026-07-13T16:30:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,12-17,A,ON TIME,בזמן,0.0,0.0
1348,LH,687,LUFTHANSA,2026-07-13T16:30:00,2026-07-13T16:30:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3.0,50-55,B,ON TIME,בזמן,0.0,0.0
1349,LO,156,LOT POLISH AIRLINES,2026-07-13T16:30:00,2026-07-13T16:30:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3.0,46-49,B,ON TIME,בזמן,0.0,0.0
1350,LY,9843,EL AL ISRAEL AIRLINES,2026-07-13T16:30:00,2026-07-13T16:30:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,12-17,A,ON TIME,בזמן,0.0,0.0
1351,6H,882,ISRAIR AIRLINES,2026-07-13T16:30:00,2026-07-13T16:30:00,A,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1352,AF,7068,AIR FRANCE,2026-07-13T16:40:00,2026-07-13T16:40:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1353,AM,7898,AERO MEXICO,2026-07-13T16:40:00,2026-07-13T16:40:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1354,LY,320,EL AL ISRAEL AIRLINES,2026-07-13T16:40:00,2026-07-13T16:40:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1355,LY,343,EL AL ISRAEL AIRLINES,2026-07-13T16:40:00,2026-07-13T16:40:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1356,LY,382,EL AL ISRAEL AIRLINES,2026-07-13T16:40:00,2026-07-13T16:40:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1357,SK,3162,SAS,2026-07-13T16:40:00,2026-07-13T16:40:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1358,SK,3184,SAS,2026-07-13T16:40:00,2026-07-13T16:40:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1359,SK,3191,SAS,2026-07-13T16:40:00,2026-07-13T16:40:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1360,6H,343,ISRAIR AIRLINES,2026-07-13T16:40:00,2026-07-13T16:40:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3.0,201-208,G,ON TIME,בזמן,0.0,0.0
1361,W4,3264,WIZZ AIR MALTA,2026-07-13T16:45:00,2026-07-13T16:45:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,1.0,361-363,D,ON TIME,בזמן,0.0,0.0
1362,EY,597,ETIHAD AIRWAYS,2026-07-13T16:50:00,2026-07-13T16:50:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1363,LY,9605,EL AL ISRAEL AIRLINES,2026-07-13T16:50:00,2026-07-13T16:50:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1364,AM,7865,AERO MEXICO,2026-07-13T16:55:00,2026-07-13T16:55:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1365,DL,7432,DELTA AIRLINES,2026-07-13T16:55:00,2026-07-13T16:55:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1366,LY,011,EL AL ISRAEL AIRLINES,2026-07-13T16:55:00,2026-07-13T16:55:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1367,LY,375,EL AL ISRAEL AIRLINES,2026-07-13T16:55:00,2026-07-13T16:55:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1368,TP,8920,AIR PORTUGAL,2026-07-13T16:55:00,2026-07-13T16:55:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1369,AM,7877,AERO MEXICO,2026-07-13T17:00:00,2026-07-13T17:00:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1370,IZ,1166,ARKIA  ISRAELI  AIRLINES,2026-07-13T17:00:00,2026-07-13T17:00:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1371,IZ,213,ARKIA  ISRAELI  AIRLINES,2026-07-13T17:00:00,2026-07-13T17:00:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,G1-G15,G,ON TIME,בזמן,0.0,0.0
1372,LY,317,EL AL ISRAEL AIRLINES,2026-07-13T17:00:00,2026-07-13T17:00:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1373,LY,5141,EL AL ISRAEL AIRLINES,2026-07-13T17:00:00,2026-07-13T17:00:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,1.0,315-318,A,ON TIME,בזמן,0.0,0.0
1374,LY,5414,EL AL ISRAEL AIRLINES,2026-07-13T17:00:00,2026-07-13T17:00:00,A,BSL,BASEL,באזל,BASEL,שוויץ,SWITZERLAND,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1375,VS,7495,VIRGIN ATLANTIC AIRWAYS,2026-07-13T17:00:00,2026-07-13T17:00:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1376,6H,250,ISRAIR AIRLINES,2026-07-13T17:00:00,2026-07-13T17:00:00,A,SZG,SALZBURG,זלצבורג,SALZBURG,אוסטריה,AUSTRIA,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1377,AF,7071,AIR FRANCE,2026-07-13T17:10:00,2026-07-13T17:10:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1378,AM,7853,AERO MEXICO,2026-07-13T17:10:00,2026-07-13T17:10:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1379,IZ,283,ARKIA  ISRAELI  AIRLINES,2026-07-13T17:10:00,2026-07-13T17:10:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3.0,G1-G15,G,ON TIME,בזמן,0.0,0.0
1380,LY,325,EL AL ISRAEL AIRLINES,2026-07-13T17:10:00,2026-07-13T17:10:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1381,AM,7866,AERO MEXICO,2026-07-13T17:15:00,2026-07-13T17:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1382,AR,7855,AEROLINEAS ARGENTINAS S.A.,2026-07-13T17:15:00,2026-07-13T17:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1383,IB,7716,IBERIA,2026-07-13T17:15:00,2026-07-13T17:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1384,LY,397,EL AL ISRAEL AIRLINES,2026-07-13T17:15:00,2026-07-13T17:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1385,6H,522,ISRAIR AIRLINES,2026-07-13T17:15:00,2026-07-13T17:15:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1386,BZ,704,BLUE BIRD AIRWAYS,2026-07-13T17:20:00,2026-07-13T17:20:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,27-33,A,ON TIME,בזמן,0.0,0.0
1387,IZ,363,ARKIA  ISRAELI  AIRLINES,2026-07-13T17:20:00,2026-07-13T17:20:00,D,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3.0,G1-G15,G,ON TIME,בזמן,0.0,0.0
1388,IZ,821,ARKIA  ISRAELI  AIRLINES,2026-07-13T17:20:00,2026-07-13T17:20:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1.0,349-354,C,ON TIME,בזמן,0.0,0.0
1389,LY,286,EL AL ISRAEL AIRLINES,2026-07-13T17:20:00,2026-07-13T17:20:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1390,SK,3172,SAS,2026-07-13T17:20:00,2026-07-13T17:20:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1391,6H,163,ISRAIR AIRLINES,2026-07-13T17:20:00,2026-07-13T17:20:00,D,TIA,TIRANA,טיראנה,TIRANA,אלבניה,ALBANIA,1.0,305-309,A,ON TIME,בזמן,0.0,0.0
1392,LY,348,EL AL ISRAEL AIRLINES,2026-07-13T17:25:00,2026-07-13T17:25:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1393,SK,3188,SAS,2026-07-13T17:25:00,2026-07-13T17:25:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1394,BT,6678,AIR BALTIC,2026-07-13T17:30:00,2026-07-13T17:30:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1395,BZ,755,BLUE BIRD AIRWAYS,2026-07-13T17:30:00,2026-07-13T17:30:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1396,KL,2472,K.L.M.,2026-07-13T17:30:00,2026-07-13T17:30:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1397,LY,338,EL AL ISRAEL AIRLINES,2026-07-13T17:30:00,2026-07-13T17:30:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1398,LY,363,EL AL ISRAEL AIRLINES,2026-07-13T17:30:00,2026-07-13T17:30:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1399,LY,5101,EL AL ISRAEL AIRLINES,2026-07-13T17:30:00,2026-07-13T17:30:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1400,SK,3150,SAS,2026-07-13T17:30:00,2026-07-13T17:30:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1401,IB,7710,IBERIA,2026-07-13T17:45:00,2026-07-13T17:45:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1402,IZ,074,ARKIA  ISRAELI  AIRLINES,2026-07-13T17:45:00,2026-07-13T17:45:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3.0,,,CANCELED,מבוטלת,0.0,0.0
1403,LY,391,EL AL ISRAEL AIRLINES,2026-07-13T17:45:00,2026-07-13T17:45:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1404,EK,2471,EMIRATES,2026-07-13T17:50:00,2026-07-13T17:50:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,34-39,B,ON TIME,בזמן,0.0,0.0
1405,FZ,1126,FLYDUBAI,2026-07-13T17:50:00,2026-07-13T17:50:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,34-39,B,ON TIME,בזמן,0.0,0.0
1406,LY,545,EL AL ISRAEL AIRLINES,2026-07-13T17:50:00,2026-07-13T17:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1407,U8,457,TUS AIRWAYS,2026-07-13T17:50:00,2026-07-13T17:50:00,A,BLQ,BOLOGNA-BORGO PANIGALE,בולוניה,BOLOGNA,איטליה,ITALY,3.0,,,CANCELED,מבוטלת,0.0,0.0
1408,6H,348,ISRAIR AIRLINES,2026-07-13T17:50:00,2026-07-13T17:50:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1409,IZ,1169,ARKIA  ISRAELI  AIRLINES,2026-07-13T17:55:00,2026-07-13T17:55:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3.0,G15-G18,G,ON TIME,בזמן,0.0,0.0
1410,LY,2523,EL AL ISRAEL AIRLINES,2026-07-13T17:55:00,2026-07-13T17:55:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1411,AR,7859,AEROLINEAS ARGENTINAS S.A.,2026-07-13T18:00:00,2026-07-13T18:00:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1412,LY,289,EL AL ISRAEL AIRLINES,2026-07-13T18:00:00,2026-07-13T18:00:00,D,VCE,VENICE,ונציה,VENICE,איטליה,ITALY,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1413,LY,383,EL AL ISRAEL AIRLINES,2026-07-13T18:00:00,2026-07-13T18:00:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1414,SK,3169,SAS,2026-07-13T18:00:00,2026-07-13T18:00:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1415,TP,8900,AIR PORTUGAL,2026-07-13T18:00:00,2026-07-13T18:00:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1416,W4,6403,WIZZ AIR MALTA,2026-07-13T18:00:00,2026-07-13T18:00:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1417,6H,597,ISRAIR AIRLINES,2026-07-13T18:00:00,2026-07-13T18:00:00,D,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3.0,201-208,G,ON TIME,בזמן,0.0,0.0
1418,AF,6175,AIR FRANCE,2026-07-13T18:05:00,2026-07-13T18:05:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1419,AM,7855,AERO MEXICO,2026-07-13T18:05:00,2026-07-13T18:05:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1420,LY,222,EL AL ISRAEL AIRLINES,2026-07-13T18:05:00,2026-07-13T18:05:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1421,SK,3196,SAS,2026-07-13T18:05:00,2026-07-13T18:05:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1422,6H,514,ISRAIR AIRLINES,2026-07-13T18:05:00,2026-07-13T18:05:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1423,EK,2450,EMIRATES,2026-07-13T18:15:00,2026-07-13T18:15:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1424,FZ,1625,FLYDUBAI,2026-07-13T18:15:00,2026-07-13T18:15:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1425,6H,581,ISRAIR AIRLINES,2026-07-13T18:15:00,2026-07-13T18:15:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3.0,201-208,G,ON TIME,בזמן,0.0,0.0
1426,6H,885,ISRAIR AIRLINES,2026-07-13T18:15:00,2026-07-13T18:15:00,D,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3.0,201-208,G,ON TIME,בזמן,0.0,0.0
1427,LY,5480,EL AL ISRAEL AIRLINES,2026-07-13T18:20:00,2026-07-13T18:20:00,A,JMK,MIKONOS,מיקונוס,MYKONOS,יוון,GREECE,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1428,LY,5032,EL AL ISRAEL AIRLINES,2026-07-13T18:25:00,2026-07-13T18:25:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1429,BZ,693,BLUE BIRD AIRWAYS,2026-07-13T18:30:00,2026-07-13T18:30:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1430,BZ,756,BLUE BIRD AIRWAYS,2026-07-13T18:30:00,2026-07-13T18:30:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3.0,27-33,A,ON TIME,בזמן,0.0,0.0
1431,LY,387,EL AL ISRAEL AIRLINES,2026-07-13T18:30:00,2026-07-13T18:30:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1432,LY,571,EL AL ISRAEL AIRLINES,2026-07-13T18:30:00,2026-07-13T18:30:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1433,RO,9100,TAROM - ROMANIAN AIR TRANSPORT,2026-07-13T18:30:00,2026-07-13T18:30:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1434,TP,8912,AIR PORTUGAL,2026-07-13T18:30:00,2026-07-13T18:30:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1435,6H,762,ISRAIR AIRLINES,2026-07-13T18:40:00,2026-07-13T18:40:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1436,LY,5468,EL AL ISRAEL AIRLINES,2026-07-13T18:45:00,2026-07-13T18:45:00,A,TIV,TIVAT,טיבאת,TIVAT,מונטנגרו,MONTENEGRO,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1437,W4,6404,WIZZ AIR MALTA,2026-07-13T18:55:00,2026-07-13T18:55:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,1.0,361-365,D,ON TIME,בזמן,0.0,0.0
1438,W6,4603,WIZZAIR,2026-07-13T18:55:00,2026-07-13T18:55:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1439,A3,926,AEGEAN  AIRLINES,2026-07-13T19:00:00,2026-07-13T19:00:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1440,BZ,747,BLUE BIRD AIRWAYS,2026-07-13T19:00:00,2026-07-13T19:00:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1441,EK,4976,EMIRATES,2026-07-13T19:00:00,2026-07-13T19:00:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1442,JU,7620,AIR SERBIA,2026-07-13T19:00:00,2026-07-13T19:00:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1443,IZ,411,ARKIA  ISRAELI  AIRLINES,2026-07-13T19:05:00,2026-07-13T19:05:00,D,TIA,TIRANA,טיראנה,TIRANA,אלבניה,ALBANIA,1.0,332-337,B,ON TIME,בזמן,0.0,0.0
1444,LY,5116,EL AL ISRAEL AIRLINES,2026-07-13T19:20:00,2026-07-13T19:20:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1445,EK,2451,EMIRATES,2026-07-13T19:25:00,2026-07-13T19:25:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,34-39,B,ON TIME,בזמן,0.0,0.0
1446,FZ,1626,FLYDUBAI,2026-07-13T19:25:00,2026-07-13T19:25:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,34-39,B,ON TIME,בזמן,0.0,0.0
1447,LY,087,EL AL ISRAEL AIRLINES,2026-07-13T19:25:00,2026-07-13T19:25:00,D,HKT,PHUKET,פוקט,PHUKET,תאילנד,THAILAND,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1448,TG,4580,THAI AIRWAYS,2026-07-13T19:25:00,2026-07-13T19:25:00,D,HKT,PHUKET,פוקט,PHUKET,תאילנד,THAILAND,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1449,6H,502,ISRAIR AIRLINES,2026-07-13T19:25:00,2026-07-13T19:25:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1450,BZ,564,BLUE BIRD AIRWAYS,2026-07-13T19:30:00,2026-07-13T19:30:00,D,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3.0,27-33,A,ON TIME,בזמן,0.0,0.0
1451,EK,2345,EMIRATES,2026-07-13T19:30:00,2026-07-13T19:30:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1452,FZ,1807,FLYDUBAI,2026-07-13T19:30:00,2026-07-13T19:30:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1453,IZ,338,ARKIA  ISRAELI  AIRLINES,2026-07-13T19:30:00,2026-07-13T19:30:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3.0,,,CANCELED,מבוטלת,0.0,0.0
1454,LY,5425,EL AL ISRAEL AIRLINES,2026-07-13T19:30:00,2026-07-13T19:30:00,D,CTA,CATANIA  FONTANAROSSA,קטאניה,CATANIA,איטליה,ITALY,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1455,LY,543,EL AL ISRAEL AIRLINES,2026-07-13T19:30:00,2026-07-13T19:30:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
1456,AM,7872,AERO MEXICO,2026-07-13T19:40:00,2026-07-13T19:40:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,,,NOT FINAL,לא סופי,0.0,0.0
1457,DL,7433,DELTA AIRLINES,2026-07-13T19:40:00,2026-07-13T19:40:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,,,NOT FINAL,לא סופי,0.0,0.0
