id,airline_code,flight_num,airline_name,scheduled_dt,actual_dt,departure_ind,destination_airport_code,destination_airport_name,destination_city_heb,destination_city_en,destination_country_heb,destination_country_en,terminal_num,checkin_counter,checkin_zone,flight_status_en,flight_status_heb,flight_duration_minutes,flight_duration_days
834,LY,083,EL AL ISRAEL AIRLINES,2026-07-13T00:55:00,2026-07-13T00:55:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
835,LY,9612,EL AL ISRAEL AIRLINES,2026-07-13T00:55:00,2026-07-13T00:55:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,12-17,A,ON TIME,בזמן,0.0,0.0
836,QF,5018,QANTAS AIRWAYS,2026-07-13T00:55:00,2026-07-13T00:55:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
837,TG,4586,THAI AIRWAYS,2026-07-13T00:55:00,2026-07-13T00:55:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
838,VN,3294,VIETNAM AIRLINES,2026-07-13T00:55:00,2026-07-13T00:55:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
839,AM,7869,AERO MEXICO,2026-07-13T01:00:00,2026-07-13T01:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
840,DL,7424,DELTA AIRLINES,2026-07-13T01:00:00,2026-07-13T01:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
841,ET,405,ETHIOPIAN AIRLINES,2026-07-13T01:00:00,2026-07-13T01:00:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3.0,2-6,A,ON TIME,בזמן,0.0,0.0
842,LY,001,EL AL ISRAEL AIRLINES,2026-07-13T01:00:00,2026-07-13T01:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
843,LY,8807,EL AL ISRAEL AIRLINES,2026-07-13T01:00:00,2026-07-13T01:00:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3.0,2-6,A,ON TIME,בזמן,0.0,0.0
844,6H,712,ISRAIR AIRLINES,2026-07-12T23:45:00,2026-07-13T01:00:00,A,VAR,VARNA,וארנה,VARNA,בולגריה,BULGARIA,3.0,,,DELAYED,עיכוב,75.0,0.052
845,6H,730,ISRAIR AIRLINES,2026-07-12T23:45:00,2026-07-13T01:00:00,A,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3.0,,,DELAYED,עיכוב,75.0,0.052
846,AM,7875,AERO MEXICO,2026-07-13T01:05:00,2026-07-13T01:05:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
847,DL,7428,DELTA AIRLINES,2026-07-13T01:05:00,2026-07-13T01:05:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
848,LY,005,EL AL ISRAEL AIRLINES,2026-07-13T01:05:00,2026-07-13T01:05:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
849,LH,691,LUFTHANSA,2026-07-13T01:10:00,2026-07-13T01:10:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,29-33,A,ON TIME,בזמן,0.0,0.0
850,U8,107,TUS AIRWAYS,2026-07-12T19:40:00,2026-07-13T01:10:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3.0,46-55,B,DELAYED,עיכוב,330.0,0.229
851,IZ,591,ARKIA  ISRAELI  AIRLINES,2026-07-12T23:55:00,2026-07-13T01:15:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,20-25,A,ON TIME,בזמן,80.0,0.056
852,IZ,292,ARKIA  ISRAELI  AIRLINES,2026-07-12T21:45:00,2026-07-13T01:30:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3.0,,,DELAYED,עיכוב,225.0,0.156
853,DL,7441,DELTA AIRLINES,2026-07-13T01:35:00,2026-07-13T01:35:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
854,LY,025,EL AL ISRAEL AIRLINES,2026-07-13T01:35:00,2026-07-13T01:35:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
855,ENT,210,ENTER AIR- E4,2026-07-13T01:45:00,2026-07-13T01:45:00,A,WMI,WARSAW- MODLIN,ורשה - מודלין,WARSAW,פולין,POLAND,3.0,,,NOT FINAL,לא סופי,0.0,0.0
856,LY,342,EL AL ISRAEL AIRLINES,2026-07-13T01:55:00,2026-07-13T01:55:00,A,GVA,GENEVA,ז'נבה,GENEVA,שוויץ,SWITZERLAND,3.0,,,NOT FINAL,לא סופי,0.0,0.0
857,BT,6672,AIR BALTIC,2026-07-13T02:00:00,2026-07-13T02:00:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3.0,,,NOT FINAL,לא סופי,0.0,0.0
858,FB,571,BULGARIA  AIR,2026-07-13T02:00:00,2026-07-13T02:00:00,A,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3.0,,,NOT FINAL,לא סופי,0.0,0.0
